date,time,tempC,windspeedKmph,winddirDegree,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC
2015-05-14,0,11,7,221,Partly cloudy,0.0,91,10,1006,44,11,9,9,13,9

2015-05-14,1200,16,5,288,Partly cloudy,0.0,50,10,1007,56,16,6,16,6,16

2015-05-15,0,9,2,36,Partly cloudy,0.0,77,10,1006,49,9,5,9,5,9

2015-05-15,1200,11,13,35,Light rain,2.4,92,9,1000,100,11,10,9,18,9

2015-05-16,0,9,4,86,Light rain shower,0.5,99,10,994,100,9,9,9,6,9

2015-05-16,1200,7,26,291,Light rain,1.1,93,9,996,100,7,6,2,36,2

2015-05-17,0,6,19,300,Light rain,1.7,96,9,997,100,6,6,3,28,3

